      24.400   300.87  -169.5   -75519.0719  -93872.9911  298562.4509       1.0212
      24.600   301.45  -109.3   -75460.0223  -93849.2056  298567.6218       1.0212
      24.800   300.77   -65.7   -75421.8312  -93769.8917  298584.2835       1.0211
      25.000   302.13   -26.1   -75424.8868  -93855.7588  298305.3742       1.0221
      25.200   300.40   102.1   -75480.4871  -93805.9255  298329.8216       1.0220
      25.400   302.80   -73.5   -75407.4900  -93879.0489  298413.5910       1.0217
      25.600   302.04   -34.1   -75307.4977  -93733.0441  298357.7396       1.0219
      25.800   302.12  -343.9   -75410.9877  -93840.9671  298256.6355       1.0222
      26.000   303.07    34.2   -75440.9580  -93929.0927  298243.1490       1.0223
      26.200   304.37   128.4   -75318.7404  -93886.3530  298187.3872       1.0225
      26.400   304.56  -108.8   -75286.2108  -93865.0692  298292.5101       1.0221
